"gene","contrast","logFC","P.Value","adj.P.Val","pi_eq2"
"PYGB","Cancer_vs_Healthy",-0.0737590334154881,0.634262577786993,0.740080265849086,0.96697569695218
"PRDX6","Cancer_vs_Healthy",0.394296311028004,0.0443162536822726,0.130297361253861,0.292647487164523
"IDH2","Cancer_vs_Healthy",-0.37977622256393,0.0531481088006445,0.14589865613889,0.328073065687293
"MYH2","Cancer_vs_Healthy",-0.967966326613439,0.0871263835223196,0.202901674585827,0.0942107771400796
"ATP2A2","Cancer_vs_Healthy",-0.677596695452294,0.015927466492587,0.065350319411441,0.0605035065039208
"ATP5F1B","Cancer_vs_Healthy",-0.0740043483685007,0.650091941405999,0.753330796393478,0.968633133534282
"MDH2","Cancer_vs_Healthy",-0.31447477388301,0.0698785204752892,0.175121779382636,0.433087098784136
"ATP5F1A","Cancer_vs_Healthy",-0.242801411292458,0.17954958076748,0.326059872162965,0.65904477107317
"MYH1","Cancer_vs_Healthy",0.103456777014607,0.850267263470282,0.896821537641892,0.983358859248607
"PFKM","Cancer_vs_Healthy",-0.600287238747534,0.0468279737932983,0.134560573859502,0.159192036141246
"S100A1","Cancer_vs_Healthy",0.149687821740489,0.667869422905904,0.766919203794667,0.941365898229476
"HSPB6","Cancer_vs_Healthy",-0.209997292979846,0.227314771807983,0.380120812856683,0.732644932346477
"EEF1A1","Cancer_vs_Healthy",0.585600495553653,0.00767121667875359,0.041792510774748,0.0577265305520639
"FBP2","Cancer_vs_Healthy",0.088415231357132,0.762551620097431,0.836167714569496,0.97631690301225
"ARF4","Cancer_vs_Healthy",0.21754350470993,0.383520032894059,0.540700374244083,0.811812612916839
"SLC25A4","Cancer_vs_Healthy",-0.461500388443874,0.207031522251725,0.358166100657265,0.483448890319196
"TNNC2","Cancer_vs_Healthy",0.226332270192678,0.644936804953681,0.74915958819511,0.90549819051823
"PGM1","Cancer_vs_Healthy",-0.102187463777561,0.527507182213902,0.661926677837976,0.936731710523238
"YWHAE","Cancer_vs_Healthy",0.31379778051652,0.0858669757815053,0.201331721209216,0.462846535915371
"GOT1","Cancer_vs_Healthy",-0.290295463525066,0.217216002316903,0.369650977794418,0.641952216242238
"CKMT2","Cancer_vs_Healthy",-0.586182874782619,0.0758970345142484,0.187355601288966,0.220600736684852
"MYL6","Cancer_vs_Healthy",0.690801278353241,0.0690044960765229,0.173992488536405,0.157722995173909
"ATP2A3","Cancer_vs_Healthy",-0.558303254239508,0.0327244798284524,0.105489353985159,0.148200143599804
"RPS27A","Cancer_vs_Healthy",0.216055037833591,0.402194779359353,0.557584662117819,0.821365576724956
"PDLIM3","Cancer_vs_Healthy",-0.421090001396074,0.048479294143844,0.138151645323522,0.279576649193429
"PEBP1","Cancer_vs_Healthy",0.151266537000335,0.303219054023552,0.456645933391586,0.834847399481933
"TPM2","Cancer_vs_Healthy",-0.266398131161797,0.611562884477472,0.722947189897768,0.877219573495935
"SOD1","Cancer_vs_Healthy",1.0552290078898,1.46344834533416e-05,0.00083904371799158,7.91345228563962e-06
"GPI","Cancer_vs_Healthy",-0.0224878648543267,0.82804753754468,0.885801186320563,0.995765872956524
"TUBB","Cancer_vs_Healthy",0.750173987320245,0.0121747456640786,0.055582038923712,0.0366236662237119
"PARK7","Cancer_vs_Healthy",0.0547780736127947,0.650992658527763,0.753649193141756,0.976760429997073
