"contrast","database","pathway","NES","padj","size"
"Training_Young","GO_BP","lactation",-1.35794489640762,0.585297022717652,3
"Training_Young","GO_BP","P-body assembly",1.35720170761367,0.572210279460621,3
"Training_Young","GO_BP","ribosomal small subunit assembly",1.35712389798647,0.617693086624321,8
"Training_Young","GO_BP","endothelium development",1.35656894577938,0.605482082925299,14
"Training_Young","GO_BP","arachidonate metabolic process",-1.3564185334868,0.623987464089841,6
"Training_Young","GO_BP","cellular response to reactive oxygen species",1.35495771048519,0.572075016583248,29
"Training_Young","GO_BP","intracellular cholesterol transport",1.35321771655556,0.631783363901176,10
"Training_Young","GO_BP","antibacterial humoral response",-1.35040003679942,0.631783363901176,7
"Training_Young","GO_BP","regulation of striated muscle cell differentiation",1.3499479076218,0.62287677957781,8
"Training_Young","GO_BP","positive regulation of phospholipid metabolic process",1.34759063123388,0.608060711721875,4
"Training_Young","GO_BP","membraneless organelle assembly",1.34752138442162,0.465539563443091,104
"Training_Young","GO_BP","regulation of response to food",-1.34594847617852,0.524145667623384,2
"Training_Young","GO_BP","negative regulation of plasma membrane bounded cell projection assembly",1.34570406300716,0.650331552179231,6
"Training_Young","GO_BP","rRNA methylation",-1.34503047903016,0.526415320486356,2
"Training_Young","GO_BP","response to interferon-alpha",-1.34362280715258,0.539116783440416,2
"Training_Young","GO_BP","positive regulation of toll-like receptor 4 signaling pathway",-1.34311833586455,0.539116783440416,2
"Training_Young","GO_BP","cellular response to acidic pH",-1.34287999500621,0.615928309983592,3
"Training_Young","GO_BP","negative regulation of leukocyte mediated cytotoxicity",-1.34277941654695,0.615928309983592,3
"Training_Young","GO_BP","intracellular potassium ion homeostasis",1.34155040583218,0.650331552179231,6
"Training_Young","GO_BP","potassium ion homeostasis",1.34155040583218,0.650331552179231,6
"Training_Young","GO_BP","positive regulation of lipid storage",1.34042295765329,0.64787182974638,5
"Training_Young","GO_BP","cell communication by electrical coupling",1.33869308184337,0.613730518840008,13
